PackageID,Length,Width,Depth,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,BestFit
32H1266,21.25,3.2,21.5,2-Way Flat Pallet-33264,17,74.72,2-Way Flat Pallet-54432,21,56.4,2-Way Flat Pallet-72576,35,70.51,2-Way Flat Pallet-90720,39,62.85,Half Pallet Box (2 or 4 way base)-10682,4,54.75,Full Pallet Box (2 or 4 way)-21458,11,74.94,Full Pallet Box (2 or 4 way)
32H2138,24.25,3.2,24.5,2-Way Flat Pallet-33264,6,34.29,2-Way Flat Pallet-54432,19,66.36,2-Way Flat Pallet-72576,23,60.25,2-Way Flat Pallet-90720,35,73.35,Half Pallet Box (2 or 4 way base)-10682,4,71.19,Full Pallet Box (2 or 4 way)-21458,10,88.6,Full Pallet Box (2 or 4 way)
DY10009,8.38,8.38,8,2-Way Flat Pallet-33264,40,67.56,2-Way Flat Pallet-54432,80,82.57,2-Way Flat Pallet-72576,120,92.89,2-Way Flat Pallet-90720,140,86.7,Half Pallet Box (2 or 4 way base)-10682,9,47.33,Full Pallet Box (2 or 4 way)-21458,27,70.69,Full Pallet Box (2 or 4 way)
DY10013,22.75,5.38,22.5,2-Way Flat Pallet-33264,4,33.12,2-Way Flat Pallet-54432,11,55.65,2-Way Flat Pallet-72576,18,68.3,2-Way Flat Pallet-90720,20,60.71,Half Pallet Box (2 or 4 way base)-10682,2,51.56,Full Pallet Box (2 or 4 way)-21458,6,77,Full Pallet Box (2 or 4 way)
DY10014,19.44,7.13,23.5,2-Way Flat Pallet-33264,7,68.55,2-Way Flat Pallet-54432,11,65.83,2-Way Flat Pallet-72576,18,80.79,2-Way Flat Pallet-90720,20,71.81,Half Pallet Box (2 or 4 way base)-10682,1,30.49,Full Pallet Box (2 or 4 way)-21458,4,60.72,Full Pallet Box (2 or 4 way)
DY10017,21.75,20,15.69,2-Way Flat Pallet-33264,2,41.04,2-Way Flat Pallet-54432,4,50.16,2-Way Flat Pallet-72576,6,56.42,2-Way Flat Pallet-90720,6,45.14,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,1,31.81,Full Pallet Box (2 or 4 way)
DY10021,22.25,16.5,29,2-Way Flat Pallet-33264,1,32.01,2-Way Flat Pallet-54432,2,39.12,2-Way Flat Pallet-72576,3,44.01,2-Way Flat Pallet-90720,4,46.94,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10022,25.38,15.75,26.88,2-Way Flat Pallet-33264,1,32.3,2-Way Flat Pallet-54432,2,39.48,2-Way Flat Pallet-72576,3,44.42,2-Way Flat Pallet-90720,4,47.38,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,1,50.07,Full Pallet Box (2 or 4 way)
DY10023,22,9.88,58,2-Way Flat Pallet-33264,0,0,2-Way Flat Pallet-54432,0,0,2-Way Flat Pallet-72576,0,0,2-Way Flat Pallet-90720,5,69.48,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10024,24.25,14.75,68.5,2-Way Flat Pallet-33264,0,0,2-Way Flat Pallet-54432,0,0,2-Way Flat Pallet-72576,0,0,2-Way Flat Pallet-90720,0,0,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,NONE
